instrument,datetime,$close,$volume,"Ref($close, 1)","Mean($close, 3)",$high-$low
SH600000,2018-02-13,8.914235,77045500.0,8.899983,8.973616,0.12826252
SH600000,2018-02-14,8.878607,45746900.0,8.914235,8.897609,0.121136665
SH600000,2018-02-22,8.999743,58958924.0,8.878607,8.930861,0.10688591
SH600000,2018-02-23,9.063874,54361796.0,8.999743,8.9807415,0.13538837
SH600000,2018-02-26,9.071,68493110.0,9.063874,9.044872,0.16389179
SH600000,2018-02-27,9.042497,68149336.0,9.071,9.059124,0.10688496
SH600000,2018-02-28,8.878607,55979076.0,9.042497,8.997368,0.15676498
SH600000,2018-03-01,8.885733,48403796.0,8.878607,8.935612,0.08550835
SH600000,2018-03-02,8.8429785,32311452.0,8.885733,8.869106,0.07125664
SH600000,2018-03-05,8.850103,41179836.0,8.8429785,8.859605,0.0997591
SH600000,2018-03-06,8.899983,38203570.0,8.850103,8.864355,0.0926342
SH600000,2018-03-07,8.899983,54475550.0,8.899983,8.883357,0.0997591
SH600000,2018-03-08,8.885733,31104554.0,8.899983,8.895233,0.10688591
SH600000,2018-03-09,8.892858,33061074.0,8.885733,8.892858,0.06413174
SH600000,2018-03-12,8.90711,35311428.0,8.892858,8.895233,0.057005882
SH600000,2018-03-13,8.899983,35287824.0,8.90711,8.899983,0.10688496
SH600000,2018-03-14,8.828727,32003374.0,8.899983,8.878607,0.049880028
SH600000,2018-03-15,8.828727,24261202.0,8.828727,8.852479,0.049879074
SH600000,2018-03-16,8.764595,37584304.0,8.828727,8.807349,0.07125664
SH600000,2018-03-19,8.771722,23711462.0,8.764595,8.788348,0.049880028
SH600000,2018-03-20,8.778847,29010932.0,8.771722,8.771721,0.099760056
SH600000,2018-03-21,8.757469,33510402.0,8.778847,8.769346,0.08550835
SH600000,2018-03-22,8.728967,32205292.0,8.757469,8.755095,0.07125759
SH600000,2018-03-23,8.344181,80141580.0,8.728967,8.610206,0.29215336
SH600000,2018-03-26,8.2729225,51117950.0,8.344181,8.44869,0.17814255
SH600000,2018-03-27,8.280049,38358132.0,8.2729225,8.299051,0.14964008
SH600000,2018-03-28,8.24442,32153084.0,8.280049,8.265798,0.16389084
SH600000,2018-03-29,8.280049,46464012.0,8.24442,8.268173,0.1852684
SH600000,2018-03-30,8.301425,32659256.0,8.280049,8.275298,0.057005882
SH600000,2018-04-02,8.344181,38900944.0,8.301425,8.308552,0.121136665
SH600000,2018-04-03,8.237295,25686664.0,8.344181,8.2943,0.08550835
SH600000,2018-04-04,8.215918,27558756.0,8.237295,8.265798,0.08550835
SH600000,2018-04-09,8.19454,23467884.0,8.215918,8.215918,0.07125759
SH600000,2018-04-10,8.386934,40344596.0,8.19454,8.265798,0.19951916
SH600000,2018-04-11,8.486693,43923508.0,8.386934,8.356056,0.19239426
SH600000,2018-04-12,8.394059,26417506.0,8.486693,8.422563,0.14251328
SH600000,2018-04-13,8.329928,19780342.0,8.394059,8.403561,0.14251423
SH600000,2018-04-16,8.230169,33288150.0,8.329928,8.318052,0.18526745
SH600000,2018-04-17,8.230169,35743896.0,8.230169,8.263422,0.10688496
SH600000,2018-04-18,8.358431,36902090.0,8.230169,8.272923,0.0926342
SH600000,2018-04-19,8.408312,23230416.0,8.358431,8.332304,0.0926342
SH600000,2018-04-20,8.2729225,25790364.0,8.408312,8.346555,0.15676498
SH600000,2018-04-23,8.265798,25515588.0,8.2729225,8.315678,0.15676498
SH600000,2018-04-24,8.394059,32323704.0,8.265798,8.310926,0.15676403
SH600000,2018-04-25,8.308551,22569940.0,8.394059,8.322803,0.08550835
SH600000,2018-04-26,8.24442,25549526.0,8.308551,8.315677,0.16388988
SH600000,2018-04-27,8.2729225,32910204.0,8.24442,8.275298,0.07838154
SH600000,2018-05-02,7.859633,97289816.0,8.2729225,8.125658,0.2565241
SH600000,2018-05-03,7.781251,48648740.0,7.859633,7.9712687,0.128263
SH600000,2018-05-04,7.717119,31229392.0,7.781251,7.786001,0.0997591
SH600000,2018-05-07,7.7242446,38488050.0,7.717119,7.7408714,0.092633724
SH600000,2018-05-08,7.8026276,40412176.0,7.7242446,7.7479973,0.11401081
SH600000,2018-05-09,7.788377,25977312.0,7.8026276,7.7717495,0.07838249
SH600000,2018-05-10,7.8026276,22496776.0,7.788377,7.7978773,0.06413174
SH600000,2018-05-11,7.8026276,30895454.0,7.8026276,7.7978773,0.049880505
SH600000,2018-05-14,7.838257,33348794.0,7.8026276,7.814504,0.06413126
SH600000,2018-05-15,7.8311305,33047280.0,7.838257,7.824005,0.11401081
SH600000,2018-05-16,7.745622,33092028.0,7.8311305,7.805003,0.071257114
SH600000,2018-05-17,7.717119,25926888.0,7.745622,7.764624,0.07125664
SH600000,2018-05-18,7.766999,30477208.0,7.717119,7.7432466,0.064130306
SH600000,2018-05-21,7.7955017,32830130.0,7.766999,7.7598734,0.057005882
SH600000,2018-05-22,7.752748,22474324.0,7.7955017,7.7717495,0.07125664
SH600000,2018-05-23,7.6957417,29743756.0,7.752748,7.7479973,0.071257114
SH600000,2018-05-24,7.6886168,21372788.0,7.6957417,7.712369,0.057005405
SH600000,2018-05-25,7.6316104,26686868.0,7.6886168,7.6719894,0.10688496
SH600000,2018-05-28,7.6672397,25780450.0,7.6316104,7.662489,0.12826252
SH600000,2018-05-29,7.581732,23764696.0,7.6672397,7.6268606,0.092633724
SH600000,2018-05-30,7.439218,45231824.0,7.581732,7.56273,0.1496396
SH600000,2018-05-31,7.5176005,63899336.0,7.439218,7.5128503,0.16389036
SH600000,2018-06-01,7.6102343,25773692.0,7.5176005,7.522351,0.11401081
SH600000,2018-06-04,7.6601133,22707040.0,7.6102343,7.5959826,0.0926342
SH600000,2018-06-05,7.595982,26232712.0,7.6601133,7.62211,0.099760056
SH600000,2018-06-06,7.5176005,21027590.0,7.595982,7.591232,0.07838297
SH600000,2018-06-07,7.56748,32776674.0,7.5176005,7.560354,0.10688496
